['51.509007#-0.089754#0', '51.505554#-0.090585#0'] 
['51.512745#-0.153464#1', '51.510598#-0.150677#1'] 
['51.512745#-0.153464#1', '51.514693#-0.150907#1'] 
['51.512745#-0.153464#1', '51.514405#-0.152683#1'] 
['51.520309#-0.164933#1', '51.519011#-0.167549#1'] 
['51.538741#-0.102721#0', '51.535337#-0.103904#0'] 
['51.498659#-0.161910#1', '51.501853#-0.159775#1'] 
['51.499833#-0.162802#0', '51.498659#-0.161910#1'] 
['51.498659#-0.161910#1', '51.499833#-0.162802#1'] 
['51.540811#-0.157988#1', '51.539580#-0.160639#1'] 
['51.527667#-0.154129#1', '51.528518#-0.152314#1'] 
['51.527667#-0.154129#1', '51.532231#-0.156680#1'] 
['51.513706#-0.188398#0', '51.512183#-0.186806#0'] 
['51.512745#-0.153464#0', '51.514693#-0.150907#0'] 
['51.512745#-0.153464#0', '51.514405#-0.152683#0'] 
['51.500853#-0.114141#1', '51.502202#-0.112323#1'] 
['51.523683#-0.069488#1', '51.521993#-0.071416#1'] 
['51.523683#-0.069488#1', '51.524160#-0.072142#1'] 
['51.523683#-0.069488#1', '51.523897#-0.075675#1'] 
['51.516319#-0.149585#1', '51.514693#-0.150907#1'] 
['51.542044#-0.102909#1', '51.538741#-0.102721#1'] 
['51.526387#-0.074863#1', '51.527954#-0.077390#1'] 
['51.526387#-0.074863#1', '51.525849#-0.077880#1'] 
['51.526387#-0.074863#1', '51.523897#-0.075675#1'] 
['51.518859#-0.150238#0', '51.519998#-0.152216#0'] 
['51.523928#-0.095751#0', '51.523952#-0.098075#0'] 
['51.507848#-0.130769#1', '51.510450#-0.135114#1'] 
['51.507848#-0.130769#1', '51.507643#-0.127659#1'] 
['51.501169#-0.119737#1', '51.500772#-0.125818#1'] 
['51.501169#-0.119737#1', '51.503207#-0.119502#1'] 
['51.501169#-0.119737#1', '51.501667#-0.123074#1'] 
['51.501169#-0.119737#1', '51.507643#-0.127659#1'] 
['51.519689#-0.170041#1', '51.519011#-0.167549#1'] 
['51.531820#-0.056712#0', '51.533141#-0.059282#0'] 
['51.513163#-0.202610#1', '51.515268#-0.204455#1'] 
['51.515268#-0.204455#0', '51.513163#-0.202610#1'] 
['51.517151#-0.206178#1', '51.515268#-0.204455#1'] 
['51.515268#-0.204455#0', '51.517151#-0.206178#1'] 
['51.535043#-0.106141#1', '51.532135#-0.106230#1'] 
['51.535043#-0.106141#1', '51.535337#-0.103904#1'] 
['51.531282#-0.125373#1', '51.531923#-0.123797#1'] 
['51.519656#-0.069654#0', '51.519064#-0.071628#0'] 
['51.519656#-0.069654#0', '51.521993#-0.071416#0'] 
['51.519656#-0.069654#0', '51.520843#-0.072576#0'] 
['51.501853#-0.159775#1', '51.499833#-0.162802#1'] 
['51.505633#-0.100330#1', '51.507819#-0.099128#1'] 
['51.507573#-0.074086#1', '51.508300#-0.077523#1', '51.505179#-0.075614#1'] 
['51.517354#-0.146868#0', '51.516319#-0.149585#0'] 
['51.517354#-0.146868#0', '51.516874#-0.143601#0'] 
['51.524393#-0.092771#0', '51.525576#-0.089858#0'] 
['51.505572#-0.150086#1', '51.507482#-0.152279#1'] 
['51.528104#-0.082998#0', '51.525859#-0.083336#0'] 
['51.528104#-0.082998#0', '51.526966#-0.080399#0'] 
